id,posicion,tank,tratamiento,poza,pool,puesta,clutch,repeticion,estadio,lcu,lco,lt,peso,fecha,medicion,medicion2,semana,dm,muerto,vivo
128,31,EE,TEMP-3,11,B,2,B,4,,,,,,12/03/2023,3,D,,,1,
128,31,EE,TEMP-3,11,B,2,B,4,,,,,,16/03/2023,4,E,,,1,
82,32,FF,TEMP-2,9,A,1,A,2,40,12.91,19.83,33.66,0.42,20/03/2023,5,F,3,22,0,1
84,32,FF,TEMP-2,9,A,1,A,2,39,12.43,21.19,33.5,0.36,20/03/2023,5,F,3,22,0,1
83,32,FF,TEMP-2,9,A,1,A,2,40,12.16,20.66,33.25,0.41,20/03/2023,5,F,3,21,0,1
81,32,FF,TEMP-2,9,A,1,A,2,37,12.76,19.46,31.19,0.38,16/03/2023,4,E,2,19,0,1
84,32,FF,TEMP-2,9,A,1,A,2,38,12.36,19.5,31.33,0.31,16/03/2023,4,E,2,,0,1
83,32,FF,TEMP-2,9,A,1,A,2,38,12.9,19.21,31.14,0.36,16/03/2023,4,E,2,,0,1
82,32,FF,TEMP-2,9,A,1,A,2,37,11.35,19.14,30.61,0.31,16/03/2023,4,E,2,,0,1
82,32,FF,TEMP-2,9,A,1,A,2,37,11.31,17.82,29.1,0.32,12/03/2023,3,D,2,,0,1
83,32,FF,TEMP-2,9,A,1,A,2,36,11.58,16.76,28.09,0.29,12/03/2023,3,D,2,,0,1
84,32,FF,TEMP-2,9,A,1,A,2,36,10.84,16.53,27.42,0.29,12/03/2023,3,D,2,,0,1
81,32,FF,TEMP-2,9,A,1,A,2,36,10.48,16.3,26.25,0.23,12/03/2023,3,D,2,,0,1
83,32,FF,TEMP-2,9,A,1,A,2,34,10.29,15.47,26.14,0.21,08/03/2023,2,C,1,,0,1
81,32,FF,TEMP-2,9,A,1,A,2,34,9.91,14.36,24.68,0.19,08/03/2023,2,C,1,,0,1
84,32,FF,TEMP-2,9,A,1,A,2,33,9.53,16.13,24.62,0.19,08/03/2023,2,C,1,,0,1
82,32,FF,TEMP-2,9,A,1,A,2,33,10.26,13.89,23.9,0.17,08/03/2023,2,C,1,,0,1
81,32,FF,TEMP-2,9,A,1,A,2,31,7.93,11.51,20.25,0.11,04/03/2023,1,B,1,,0,1
84,32,FF,TEMP-2,9,A,1,A,2,31,7.98,13.19,20.24,0.09,04/03/2023,1,B,1,,0,1
